"Section","QueryId","SchemaName","TableName","ColumnName","OrdinalPosition","DataType","MaxLength","NumericPrecision","NumericScale","DateTimePrecision","Nullable","ObjectType","ApproxRowCount","ConstraintName","ConstraintType","KeyOrdinal","ReferencedSchema","ReferencedTable","ReferencedColumn","IndexName","IsUnique","IsPrimaryKey","Finding","Error"
"TableInventory","Q02","dbo","DownlineLeaders","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","Duplicate","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","DuplicatesRun","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","EmailDelegation","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","EmailLinks","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","EmailLog","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","EmailOptOut","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","EmailQueue","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","EmailQueueTo","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","EmailQueueToFail","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","EmailResponses","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","EmailToText","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","EngagementScore","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","EngagementScoreTag","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","EnrollmentTransaction","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","ExtraData","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","FailedEmails","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","FailedRecurringGiving","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","Families","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","FamilyCheckinLock","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","FamilyExtra","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","FamilyFirstTimes","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","FieldRequirement","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","FirstAttends","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","FirstName","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","FirstName2","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","FirstNick","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","FirstPersonSameEmail","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","FortisTransactionLog","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","FortisWebhookAccountVaults","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","FortisWebhookErrors","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","FortisWebhookTransactions","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","FraudScores","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","FundSetFunds","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","FundSets","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","GatewayAccount","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","GatewayDetails","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","GeoCodeRegions","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","GeoCodes","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","GeoRegions","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","GivingPageFunds","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","GivingPages","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","GoerSenderAmounts","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
